timetag,sensor,service,PID,param_A,param_B,calc_value
2971,CoolantTemp,0X1,0X5,148,0,108.00
3064,OilTemp,0X22,0X5822,165,0,105.00
3146,OilPress,0X22,0X586f,2763,0,10210.00
3221,FuelPress,0X1,0X23,510,0,1305601.00
3321,MAP,0X1,0Xb,95,0,95.00
3470,BaroPress,0X1,0X33,0,0,100.00
3562,RunTime,0X1,0X1f,34,0,34.00
3800,AFR,0X1,0X44,0,0,1.00
3870,MAF,0X1,0X10,312,0,799.00
3945,RPM,0X1,0Xc,0,0,828.50
4019,EngineLoad,0X1,0X4,0,0,21.18
4019,InstFuelRate_custom,0X0,0X0,0,0,inf
4019,AvgFuelRate_custom,0X0,0X0,0,0,inf
4020,BoostPress_custom,0X0,0X0,0,0,-5.00
4099,CoolantTemp,0X1,0X5,148,0,108.00
4174,OilTemp,0X22,0X5822,165,0,105.00
4255,OilPress,0X22,0X586f,2745,0,10046.00
4334,FuelPress,0X1,0X23,517,0,1323620.00
4409,MAP,0X1,0Xb,95,0,95.00
4564,BaroPress,0X1,0X33,0,0,100.00
4643,RunTime,0X1,0X1f,35,0,35.00
4724,AFR,0X1,0X44,0,0,1.00
4804,MAF,0X1,0X10,278,0,712.00
4886,RPM,0X1,0Xc,0,0,815.00
4960,EngineLoad,0X1,0X4,0,0,21.57
4961,InstFuelRate_custom,0X0,0X0,0,0,inf
4961,AvgFuelRate_custom,0X0,0X0,0,0,inf
4961,BoostPress_custom,0X0,0X0,0,0,-5.00
5050,CoolantTemp,0X1,0X5,148,0,108.00
5120,OilTemp,0X22,0X5822,165,0,105.00
5234,OilPress,0X22,0X586f,2741,0,10031.00
5313,FuelPress,0X1,0X23,517,0,1323620.00
5392,MAP,0X1,0Xb,95,0,95.00
5770,BaroPress,0X1,0X33,0,0,100.00
5851,RunTime,0X1,0X1f,36,0,36.00
5932,AFR,0X1,0X44,0,0,1.00
6012,MAF,0X1,0X10,281,0,720.00
6080,RPM,0X1,0Xc,0,0,804.00
6149,EngineLoad,0X1,0X4,0,0,22.35
6150,InstFuelRate_custom,0X0,0X0,0,0,inf
6150,AvgFuelRate_custom,0X0,0X0,0,0,inf
6150,BoostPress_custom,0X0,0X0,0,0,-5.00
6251,CoolantTemp,0X1,0X5,147,0,107.00
6330,OilTemp,0X22,0X5822,165,0,105.00
6405,OilPress,0X22,0X586f,2777,0,10164.00
6486,FuelPress,0X1,0X23,517,0,1323620.00
6560,MAP,0X1,0Xb,95,0,95.00
6954,BaroPress,0X1,0X33,0,0,100.00
7034,RunTime,0X1,0X1f,37,0,37.00
7290,AFR,0X1,0X44,0,0,1.00
7370,MAF,0X1,0X10,295,0,756.00
7445,RPM,0X1,0Xc,0,0,822.00
7519,EngineLoad,0X1,0X4,0,0,21.18
7520,InstFuelRate_custom,0X0,0X0,0,0,inf
7520,AvgFuelRate_custom,0X0,0X0,0,0,inf
7520,BoostPress_custom,0X0,0X0,0,0,-5.00
7604,CoolantTemp,0X1,0X5,147,0,107.00
7680,OilTemp,0X22,0X5822,165,0,105.00
7766,OilPress,0X22,0X586f,2869,0,10504.00
7840,FuelPress,0X1,0X23,501,0,1282660.00
7910,MAP,0X1,0Xb,95,0,95.00
7994,BaroPress,0X1,0X33,0,0,100.00
8075,RunTime,0X1,0X1f,38,0,38.00
8227,AFR,0X1,0X44,0,0,1.00
8301,MAF,0X1,0X10,262,0,671.00
8381,RPM,0X1,0Xc,0,0,806.50
8461,EngineLoad,0X1,0X4,0,0,22.35
8461,InstFuelRate_custom,0X0,0X0,0,0,inf
8461,AvgFuelRate_custom,0X0,0X0,0,0,inf
8461,BoostPress_custom,0X0,0X0,0,0,-5.00
8551,CoolantTemp,0X1,0X5,146,0,106.00
8632,OilTemp,0X22,0X5822,165,0,105.00
8712,OilPress,0X22,0X586f,2897,0,10607.00
8792,FuelPress,0X1,0X23,509,0,1303140.00
8872,MAP,0X1,0Xb,95,0,95.00
9031,BaroPress,0X1,0X33,0,0,100.00
9110,RunTime,0X1,0X1f,40,0,40.00
9345,AFR,0X1,0X44,0,0,1.00
9427,MAF,0X1,0X10,289,0,740.00
9506,RPM,0X1,0Xc,0,0,807.50
9580,EngineLoad,0X1,0X4,0,0,21.96
9580,InstFuelRate_custom,0X0,0X0,0,0,inf
9580,AvgFuelRate_custom,0X0,0X0,0,0,inf
9580,BoostPress_custom,0X0,0X0,0,0,-5.00
9654,CoolantTemp,0X1,0X5,146,0,106.00
9750,OilTemp,0X22,0X5822,165,0,105.00
9826,OilPress,0X22,0X586f,2995,0,10969.00
9901,FuelPress,0X1,0X23,506,0,1295460.00
9969,MAP,0X1,0Xb,95,0,95.00
10044,BaroPress,0X1,0X33,0,0,100.00
10125,RunTime,0X1,0X1f,41,0,41.00
10288,AFR,0X1,0X44,0,0,1.00
10365,MAF,0X1,0X10,289,0,740.00
10445,RPM,0X1,0Xc,0,0,809.00
10519,EngineLoad,0X1,0X4,0,0,21.18
10520,InstFuelRate_custom,0X0,0X0,0,0,inf
10520,AvgFuelRate_custom,0X0,0X0,0,0,inf
10520,BoostPress_custom,0X0,0X0,0,0,-5.00
10604,CoolantTemp,0X1,0X5,146,0,106.00
10680,OilTemp,0X22,0X5822,165,0,105.00
10766,OilPress,0X22,0X586f,3034,0,11114.00
10845,FuelPress,0X1,0X23,516,0,1321060.00
10920,MAP,0X1,0Xb,95,0,95.00
10994,BaroPress,0X1,0X33,0,0,100.00
11076,RunTime,0X1,0X1f,41,0,41.00
11155,AFR,0X1,0X44,0,0,1.00
11230,MAF,0X1,0X10,289,0,740.00
11300,RPM,0X1,0Xc,0,0,786.50
11369,EngineLoad,0X1,0X4,0,0,23.14
11370,InstFuelRate_custom,0X0,0X0,0,0,inf
11370,AvgFuelRate_custom,0X0,0X0,0,0,inf
11370,BoostPress_custom,0X0,0X0,0,0,-5.00
11454,CoolantTemp,0X1,0X5,146,0,106.00
11530,OilTemp,0X22,0X5822,165,0,105.00
11612,OilPress,0X22,0X586f,2954,0,10818.00
11680,FuelPress,0X1,0X23,512,0,1310820.00
11760,MAP,0X1,0Xb,95,0,95.00
11985,BaroPress,0X1,0X33,0,0,100.00
12065,RunTime,0X1,0X1f,42,0,42.00
12290,AFR,0X1,0X44,0,0,1.00
12366,MAF,0X1,0X10,284,0,728.00
12440,RPM,0X1,0Xc,0,0,812.00
12516,EngineLoad,0X1,0X4,0,0,21.57
12517,InstFuelRate_custom,0X0,0X0,0,0,inf
12517,AvgFuelRate_custom,0X0,0X0,0,0,inf
12517,BoostPress_custom,0X0,0X0,0,0,-5.00
12612,CoolantTemp,0X1,0X5,145,0,105.00
12692,OilTemp,0X22,0X5822,165,0,105.00
12773,OilPress,0X22,0X586f,2980,0,10914.00
12852,FuelPress,0X1,0X23,504,0,1290340.00
12932,MAP,0X1,0Xb,95,0,95.00
13011,BaroPress,0X1,0X33,0,0,100.00
13092,RunTime,0X1,0X1f,44,0,44.00
13172,AFR,0X1,0X44,0,0,1.00
13251,MAF,0X1,0X10,287,0,735.00
13320,RPM,0X1,0Xc,0,0,828.50
13394,EngineLoad,0X1,0X4,0,0,20.78
13395,InstFuelRate_custom,0X0,0X0,0,0,inf
13395,AvgFuelRate_custom,0X0,0X0,0,0,inf
13395,BoostPress_custom,0X0,0X0,0,0,-5.00
13479,CoolantTemp,0X1,0X5,145,0,105.00
13560,OilTemp,0X22,0X5822,165,0,105.00
13663,OilPress,0X22,0X586f,2953,0,10814.00
13743,FuelPress,0X1,0X23,514,0,1315940.00
13821,MAP,0X1,0Xb,95,0,95.00
14305,BaroPress,0X1,0X33,0,0,100.00
14385,RunTime,0X1,0X1f,45,0,45.00
14545,AFR,0X1,0X44,0,0,1.00
14620,MAF,0X1,0X10,306,0,784.00
14694,RPM,0X1,0Xc,0,0,827.00
14775,EngineLoad,0X1,0X4,0,0,20.78
14775,InstFuelRate_custom,0X0,0X0,0,0,inf
14775,AvgFuelRate_custom,0X0,0X0,0,0,inf
14775,BoostPress_custom,0X0,0X0,0,0,-5.00
14866,CoolantTemp,0X1,0X5,145,0,105.00
14941,OilTemp,0X22,0X5822,165,0,105.00
15022,OilPress,0X22,0X586f,2887,0,10570.00
15101,FuelPress,0X1,0X23,506,0,1295460.00
15181,MAP,0X1,0Xb,95,0,95.00
15480,BaroPress,0X1,0X33,0,0,100.00
15561,RunTime,0X1,0X1f,46,0,46.00
15716,AFR,0X1,0X44,0,0,1.00
15796,MAF,0X1,0X10,264,0,676.00
15882,RPM,0X1,0Xc,0,0,797.00
15960,EngineLoad,0X1,0X4,0,0,22.75
15961,InstFuelRate_custom,0X0,0X0,0,0,inf
15961,AvgFuelRate_custom,0X0,0X0,0,0,inf
15961,BoostPress_custom,0X0,0X0,0,0,-5.00
16051,CoolantTemp,0X1,0X5,145,0,105.00
16126,OilTemp,0X22,0X5822,165,0,105.00
16201,OilPress,0X22,0X586f,2790,0,10212.00
16282,FuelPress,0X1,0X23,512,0,1310820.00
16361,MAP,0X1,0Xb,95,0,95.00
16505,BaroPress,0X1,0X33,0,0,100.00
16586,RunTime,0X1,0X1f,47,0,47.00
16661,AFR,0X1,0X44,0,0,1.00
16736,MAF,0X1,0X10,287,0,735.00
16811,RPM,0X1,0Xc,0,0,794.00
16891,EngineLoad,0X1,0X4,0,0,22.35
16891,InstFuelRate_custom,0X0,0X0,0,0,inf
